1,ïΩê¨27îNçëê®í≤ç∏Å@è¨ínàÊèWåvÅ@Åiëçñ±è»ìùåvã«Åj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ëÊ11ï\Å@éYã∆(ëÂï™óﬁÅjÅCíjèóï 15çŒà»è„èAã∆é“êî Å|í¨íöÅEéöìô,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,ëçêîÅiíjèóï Åj,,,,,,,,,,,,,,,,,,,,,,íj,,,,,,,,,,,,,,,,,,,,,,èó,,,,,,,,,,,,,,,,,,,,,
4,ésãÊí¨ë∫ÉRÅ[Éh,í¨íöéöÉRÅ[Éh,ínàÊéØï î‘çÜ,îÈìΩèàóù,îÈìΩêÊèÓïÒ,çáéZínàÊ,ìsìπï{åßñº,ésãÊí¨ë∫ñº,ëÂéöÅEí¨ñº,éöÅEíöñ⁄ñº,ëçêîÅiéYã∆ëÂï™óﬁÅj,Ç`Å@î_ã∆ÅCó—ã∆,Ç§Çøî_ã∆,ÇaÅ@ãôã∆,ÇbÅ@çzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆,ÇcÅ@åöê›ã∆,ÇdÅ@êªë¢ã∆,ÇeÅ@ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆,ÇfÅ@èÓïÒí êMã∆,ÇgÅ@â^óAã∆ÅCóXï÷ã∆,ÇhÅ@âµîÑã∆ÅCè¨îÑã∆,ÇiÅ@ã‡óZã∆ÅCï€åØã∆,ÇjÅ@ïsìÆéYã∆ÅCï®ïií¿ë›ã∆,ÇkÅ@äwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆,ÇlÅ@èhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆,ÇmÅ@ê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆,ÇnÅ@ã≥àÁÅCäwèKéxâáã∆,ÇoÅ@à„ó√ÅCïüéÉ,ÇpÅ@ï°çáÉTÅ[ÉrÉXéñã∆,ÇqÅ@ÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅj,ÇrÅ@åˆñ±ÅiëºÇ…ï™óﬁÇ≥ÇÍÇÈÇ‡ÇÃÇèúÇ≠Åj,ÇsÅ@ï™óﬁïsî\ÇÃéYã∆,ëçêîÅiéYã∆ëÂï™óﬁÅj,Ç`Å@î_ã∆ÅCó—ã∆,Ç§Çøî_ã∆,ÇaÅ@ãôã∆,ÇbÅ@çzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆,ÇcÅ@åöê›ã∆,ÇdÅ@êªë¢ã∆,ÇeÅ@ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆,ÇfÅ@èÓïÒí êMã∆,ÇgÅ@â^óAã∆ÅCóXï÷ã∆,ÇhÅ@âµîÑã∆ÅCè¨îÑã∆,ÇiÅ@ã‡óZã∆ÅCï€åØã∆,ÇjÅ@ïsìÆéYã∆ÅCï®ïií¿ë›ã∆,ÇkÅ@äwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆,ÇlÅ@èhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆,ÇmÅ@ê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆,ÇnÅ@ã≥àÁÅCäwèKéxâáã∆,ÇoÅ@à„ó√ÅCïüéÉ,ÇpÅ@ï°çáÉTÅ[ÉrÉXéñã∆,ÇqÅ@ÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅj,ÇrÅ@åˆñ±ÅiëºÇ…ï™óﬁÇ≥ÇÍÇÈÇ‡ÇÃÇèúÇ≠Åj,ÇsÅ@ï™óﬁïsî\ÇÃéYã∆,ëçêîÅiéYã∆ëÂï™óﬁÅj,Ç`Å@î_ã∆ÅCó—ã∆,Ç§Çøî_ã∆,ÇaÅ@ãôã∆,ÇbÅ@çzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆,ÇcÅ@åöê›ã∆,ÇdÅ@êªë¢ã∆,ÇeÅ@ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆,ÇfÅ@èÓïÒí êMã∆,ÇgÅ@â^óAã∆ÅCóXï÷ã∆,ÇhÅ@âµîÑã∆ÅCè¨îÑã∆,ÇiÅ@ã‡óZã∆ÅCï€åØã∆,ÇjÅ@ïsìÆéYã∆ÅCï®ïií¿ë›ã∆,ÇkÅ@äwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆,ÇlÅ@èhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆,ÇmÅ@ê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆,ÇnÅ@ã≥àÁÅCäwèKéxâáã∆,ÇoÅ@à„ó√ÅCïüéÉ,ÇpÅ@ï°çáÉTÅ[ÉrÉXéñã∆,ÇqÅ@ÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅj,ÇrÅ@åˆñ±ÅiëºÇ…ï™óﬁÇ≥ÇÍÇÈÇ‡ÇÃÇèúÇ≠Åj,ÇsÅ@ï™óﬁïsî\ÇÃéYã∆
621,"25202","007003","3","","","","é†âÍåß","ïFç™és","ãûí¨","ÇRíöñ⁄",188,1,1,-,-,9,27,-,1,5,49,3,7,7,15,13,13,15,-,9,6,8,98,-,-,-,-,7,17,-,1,3,21,3,3,4,6,10,5,4,-,7,4,3,90,1,1,-,-,2,10,-,-,2,28,-,4,3,9,3,8,11,-,2,2,5
622,"25202","0100","2","","","","é†âÍåß","ïFç™és","íÜâõí¨","",133,-,-,-,-,-,21,-,-,2,45,-,6,2,7,9,3,20,1,10,4,3,66,-,-,-,-,-,13,-,-,2,22,-,2,1,2,7,2,7,1,5,1,1,67,-,-,-,-,-,8,-,-,-,23,-,4,1,5,2,1,13,-,5,3,2
623,"25202","0110","2","","","","é†âÍåß","ïFç™és","ã—í¨","",128,-,-,-,-,4,19,-,1,3,20,3,2,-,18,4,13,20,1,16,2,2,74,-,-,-,-,4,15,-,1,3,11,3,1,-,7,1,3,10,1,11,2,1,54,-,-,-,-,-,4,-,-,-,9,-,1,-,11,3,10,10,-,5,-,1
624,"25202","011001","3","","","","é†âÍåß","ïFç™és","ã—í¨","",55,-,-,-,-,3,7,-,-,-,13,1,2,-,7,3,6,6,-,4,1,2,34,-,-,-,-,3,7,-,-,-,7,1,1,-,2,1,2,5,-,3,1,1,21,-,-,-,-,-,-,-,-,-,6,-,1,-,5,2,4,1,-,1,-,1
625,"25202","011002","3","","","","é†âÍåß","ïFç™és","ã—í¨","",23,-,-,-,-,-,1,-,-,1,6,-,-,-,8,1,3,3,-,-,-,-,10,-,-,-,-,-,-,-,-,1,3,-,-,-,4,-,-,2,-,-,-,-,13,-,-,-,-,-,1,-,-,-,3,-,-,-,4,1,3,1,-,-,-,-
626,"25202","011003","3","","","","é†âÍåß","ïFç™és","ã—í¨","",50,-,-,-,-,1,11,-,1,2,1,2,-,-,3,-,4,11,1,12,1,-,30,-,-,-,-,1,8,-,1,2,1,2,-,-,1,-,1,3,1,8,1,-,20,-,-,-,-,-,3,-,-,-,-,-,-,-,2,-,3,8,-,4,-,-
627,"25202","0120","2","","","","é†âÍåß","ïFç™és","âÕå¥","",254,-,-,-,-,27,40,-,3,9,48,2,2,6,42,13,10,25,1,13,1,12,135,-,-,-,-,17,28,-,3,8,24,-,2,4,14,8,4,7,1,7,-,8,119,-,-,-,-,10,12,-,-,1,24,2,-,2,28,5,6,18,-,6,1,4
628,"25202","012001","3","","","","é†âÍåß","ïFç™és","âÕå¥","ÇPíöñ⁄",70,-,-,-,-,13,9,-,2,5,11,1,2,2,6,2,6,6,-,3,-,2,38,-,-,-,-,8,5,-,2,4,6,-,2,2,2,1,4,1,-,-,-,1,32,-,-,-,-,5,4,-,-,1,5,1,-,-,4,1,2,5,-,3,-,1
629,"25202","012002","3","","","","é†âÍåß","ïFç™és","âÕå¥","ÇQíöñ⁄",64,-,-,-,-,2,9,-,-,1,16,-,-,-,25,3,-,4,-,2,1,1,32,-,-,-,-,1,7,-,-,1,9,-,-,-,7,2,-,2,-,2,-,1,32,-,-,-,-,1,2,-,-,-,7,-,-,-,18,1,-,2,-,-,1,-
630,"25202","012003","3","","","","é†âÍåß","ïFç™és","âÕå¥","ÇRíöñ⁄",120,-,-,-,-,12,22,-,1,3,21,1,-,4,11,8,4,15,1,8,-,9,65,-,-,-,-,8,16,-,1,3,9,-,-,2,5,5,-,4,1,5,-,6,55,-,-,-,-,4,6,-,-,-,12,1,-,2,6,3,4,11,-,3,-,3
631,"25202","0150","2","","","","é†âÍåß","ïFç™és","ã‚ç¿í¨","",41,-,-,-,-,-,6,-,1,-,25,-,1,1,2,2,-,1,-,-,1,1,21,-,-,-,-,-,5,-,1,-,11,-,1,1,1,1,-,-,-,-,-,-,20,-,-,-,-,-,1,-,-,-,14,-,-,-,1,1,-,1,-,-,1,1
632,"25202","015001","3","","","","é†âÍåß","ïFç™és","ã‚ç¿í¨","",28,-,-,-,-,-,2,-,1,-,17,-,1,1,2,2,-,1,-,-,1,-,12,-,-,-,-,-,1,-,1,-,6,-,1,1,1,1,-,-,-,-,-,-,16,-,-,-,-,-,1,-,-,-,11,-,-,-,1,1,-,1,-,-,1,-
633,"25202","015002","3","","","","é†âÍåß","ïFç™és","ã‚ç¿í¨","",13,-,-,-,-,-,4,-,-,-,8,-,-,-,-,-,-,-,-,-,-,1,9,-,-,-,-,-,4,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,1
634,"25202","0160","2","","","","é†âÍåß","ïFç™és","ã⁄ã¥","",396,-,-,-,-,12,58,1,4,14,86,14,4,16,54,18,25,48,-,27,9,6,216,-,-,-,-,10,40,1,3,10,38,8,2,11,26,10,12,16,-,20,5,4,180,-,-,-,-,2,18,-,1,4,48,6,2,5,28,8,13,32,-,7,4,2
635,"25202","016001","3","","","","é†âÍåß","ïFç™és","ã⁄ã¥","ÇPíöñ⁄",152,-,-,-,-,7,25,-,-,7,36,4,3,4,18,7,9,15,-,11,4,2,83,-,-,-,-,5,15,-,-,4,15,2,1,4,9,4,6,6,-,9,2,1,69,-,-,-,-,2,10,-,-,3,21,2,2,-,9,3,3,9,-,2,2,1
636,"25202","016002","3","","","","é†âÍåß","ïFç™és","ã⁄ã¥","ÇQíöñ⁄",244,-,-,-,-,5,33,1,4,7,50,10,1,12,36,11,16,33,-,16,5,4,133,-,-,-,-,5,25,1,3,6,23,6,1,7,17,6,6,10,-,11,3,3,111,-,-,-,-,-,8,-,1,1,27,4,-,5,19,5,10,23,-,5,2,1
637,"25202","0170","2","","","","é†âÍåß","ïFç™és","ã¥å¸í¨","",31,-,-,-,-,1,4,-,-,-,7,1,1,2,2,1,4,3,1,1,1,2,17,-,-,-,-,1,3,-,-,-,4,-,1,1,1,-,2,1,1,1,-,1,14,-,-,-,-,-,1,-,-,-,3,1,-,1,1,1,2,2,-,-,1,1
638,"25202","0180","2","","","","é†âÍåß","ïFç™és","êVí¨","",49,-,-,-,-,2,13,-,-,3,12,1,1,1,3,1,3,1,-,1,1,6,33,-,-,-,-,2,9,-,-,3,6,1,1,1,2,1,1,-,-,1,1,4,16,-,-,-,-,-,4,-,-,-,6,-,-,-,1,-,2,1,-,-,-,2
639,"25202","0190","2","","","","é†âÍåß","ïFç™és","ã⁄íÜí¨","",37,-,-,-,-,-,14,-,-,1,10,3,-,-,1,2,1,2,-,2,1,-,20,-,-,-,-,-,8,-,-,1,6,2,-,-,-,1,-,1,-,-,1,-,17,-,-,-,-,-,6,-,-,-,4,1,-,-,1,1,1,1,-,2,-,-
640,"25202","0200","2","","","","é†âÍåß","ïFç™és","ëÂã¥í¨","",42,-,-,-,-,3,8,-,1,2,8,2,1,1,2,2,2,5,-,2,3,-,19,-,-,-,-,3,4,-,1,2,3,1,-,1,-,-,-,1,-,2,1,-,23,-,-,-,-,-,4,-,-,-,5,1,1,-,2,2,2,4,-,-,2,-
641,"25202","0210","2","","","","é†âÍåß","ïFç™és","å„éOèí¨","",1265,7,7,4,1,76,328,27,11,59,190,20,24,33,116,31,63,114,11,48,30,72,769,7,7,2,1,65,250,27,9,43,97,15,10,22,43,13,25,33,5,32,18,52,496,-,-,2,-,11,78,-,2,16,93,5,14,11,73,18,38,81,6,16,12,20
642,"25202","021001","3","","","","é†âÍåß","ïFç™és","å„éOèí¨","",252,1,1,-,-,15,80,3,3,11,32,6,4,7,15,5,14,28,4,9,7,8,146,1,1,-,-,10,60,3,3,7,16,3,1,6,5,1,4,9,2,6,3,6,106,-,-,-,-,5,20,-,-,4,16,3,3,1,10,4,10,19,2,3,4,2
643,"25202","021002","3","","","","é†âÍåß","ïFç™és","å„éOèí¨","",170,2,2,-,-,7,29,24,1,6,25,3,2,5,18,11,6,11,3,3,1,13,112,2,2,-,-,6,22,24,1,4,9,3,1,3,10,5,3,4,2,2,1,10,58,-,-,-,-,1,7,-,-,2,16,-,1,2,8,6,3,7,1,1,-,3
644,"25202","021003","3","","","","é†âÍåß","ïFç™és","å„éOèí¨","",268,-,-,-,-,9,59,-,5,19,41,2,3,6,26,4,18,37,2,14,11,12,143,-,-,-,-,7,44,-,4,12,20,2,2,3,5,2,7,9,1,10,8,7,125,-,-,-,-,2,15,-,1,7,21,-,1,3,21,2,11,28,1,4,3,5
645,"25202","021004","3","","","","é†âÍåß","ïFç™és","å„éOèí¨","",137,-,-,4,-,20,18,-,-,5,27,1,5,3,29,3,2,8,1,2,-,9,80,-,-,2,-,19,11,-,-,3,14,1,2,2,14,2,2,3,-,-,-,5,57,-,-,2,-,1,7,-,-,2,13,-,3,1,15,1,-,5,1,2,-,4
646,"25202","021005","3","","","","é†âÍåß","ïFç™és","å„éOèí¨","",438,4,4,-,1,25,142,-,2,18,65,8,10,12,28,8,23,30,1,20,11,30,288,4,4,-,1,23,113,-,1,17,38,6,4,8,9,3,9,8,-,14,6,24,150,-,-,-,-,2,29,-,1,1,27,2,6,4,19,5,14,22,1,6,5,6
647,"25202","0220","2","","","","é†âÍåß","ïFç™és","ã‡ãTí¨","",16,-,-,-,-,3,2,-,1,1,-,1,-,-,-,1,3,1,-,-,2,1,11,-,-,-,-,3,1,-,1,1,-,-,-,-,-,-,2,-,-,-,2,1,5,-,-,-,-,-,1,-,-,-,-,1,-,-,-,1,1,1,-,-,-,-
648,"25202","022001","3","","","","é†âÍåß","ïFç™és","ã‡ãTí¨","",10,-,-,-,-,1,1,-,1,1,-,1,-,-,-,-,3,-,-,-,2,-,7,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,2,-,-,-,2,-,3,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-
649,"25202","022002","3","","","","é†âÍåß","ïFç™és","ã‡ãTí¨","",6,-,-,-,-,2,1,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,4,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-
650,"25202","0230","2","çáéZínàÊÇ†ÇË","","023001;023002","é†âÍåß","ïFç™és","îˆññí¨","",144,1,1,-,-,4,21,2,3,7,23,6,5,6,11,2,12,9,-,12,13,7,86,1,1,-,-,4,13,2,3,6,11,6,2,4,5,-,5,2,-,7,11,4,58,-,-,-,-,-,8,-,-,1,12,-,3,2,6,2,7,7,-,5,2,3
651,"25202","023001","3","îÈìΩínàÊ","0230","","é†âÍåß","ïFç™és","îˆññí¨","",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
652,"25202","023002","3","îÈìΩínàÊ","0230","","é†âÍåß","ïFç™és","îˆññí¨","",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
653,"25202","0240","2","","","","é†âÍåß","ïFç™és","ñ{í¨","",351,3,3,-,-,12,53,-,2,11,91,5,10,10,27,12,24,29,3,40,10,9,192,3,3,-,-,10,41,-,2,9,43,3,5,6,15,7,7,7,1,21,7,5,159,-,-,-,-,2,12,-,-,2,48,2,5,4,12,5,17,22,2,19,3,4
654,"25202","024001","3","","","","é†âÍåß","ïFç™és","ñ{í¨","ÇPíöñ⁄",200,2,2,-,-,8,26,-,-,6,58,3,8,6,15,9,11,12,1,20,8,7,114,2,2,-,-,6,21,-,-,6,29,1,4,5,9,5,3,4,-,8,6,5,86,-,-,-,-,2,5,-,-,-,29,2,4,1,6,4,8,8,1,12,2,2
655,"25202","024002","3","","","","é†âÍåß","ïFç™és","ñ{í¨","ÇQíöñ⁄",85,-,-,-,-,2,10,-,1,4,19,2,2,3,9,2,6,10,1,10,2,2,39,-,-,-,-,2,6,-,1,2,7,2,1,1,5,1,1,2,-,7,1,-,46,-,-,-,-,-,4,-,-,2,12,-,1,2,4,1,5,8,1,3,1,2
656,"25202","024003","3","","","","é†âÍåß","ïFç™és","ñ{í¨","ÇRíöñ⁄",66,1,1,-,-,2,17,-,1,1,14,-,-,1,3,1,7,7,1,10,-,-,39,1,1,-,-,2,14,-,1,1,7,-,-,-,1,1,3,1,1,6,-,-,27,-,-,-,-,-,3,-,-,-,7,-,-,1,2,-,4,6,-,4,-,-
657,"25202","0270","2","","","","é†âÍåß","ïFç™és","èÈí¨","",596,3,2,-,-,29,118,1,3,30,98,15,8,15,60,11,63,55,4,38,18,27,334,3,2,-,-,26,90,1,1,21,46,7,6,9,26,1,28,17,3,22,14,13,262,-,-,-,-,3,28,-,2,9,52,8,2,6,34,10,35,38,1,16,4,14
658,"25202","027001","3","","","","é†âÍåß","ïFç™és","èÈí¨","ÇPíöñ⁄",226,1,-,-,-,9,47,-,2,8,35,7,2,9,16,2,27,23,2,15,7,14,126,1,-,-,-,8,35,-,-,5,18,2,2,6,6,-,11,8,1,11,6,6,100,-,-,-,-,1,12,-,2,3,17,5,-,3,10,2,16,15,1,4,1,8
659,"25202","027002","3","","","","é†âÍåß","ïFç™és","èÈí¨","ÇQíöñ⁄",370,2,2,-,-,20,71,1,1,22,63,8,6,6,44,9,36,32,2,23,11,13,208,2,2,-,-,18,55,1,1,16,28,5,4,3,20,1,17,9,2,11,8,7,162,-,-,-,-,2,16,-,-,6,35,3,2,3,24,8,19,23,-,12,3,6
660,"25202","0300","2","","","","é†âÍåß","ïFç™és","írèBí¨","",117,-,-,-,-,8,34,1,1,5,14,6,2,1,8,3,9,12,3,3,4,3,62,-,-,-,-,6,20,1,1,4,8,1,1,-,6,1,4,2,1,2,4,-,55,-,-,-,-,2,14,-,-,1,6,5,1,1,2,2,5,10,2,1,-,3
661,"25202","030001","3","","","","é†âÍåß","ïFç™és","írèBí¨","",42,-,-,-,-,2,8,1,-,2,5,1,1,1,6,1,1,5,3,-,3,2,25,-,-,-,-,2,7,1,-,2,3,-,1,-,4,-,1,-,1,-,3,-,17,-,-,-,-,-,1,-,-,-,2,1,-,1,2,1,-,5,2,-,-,2
662,"25202","030002","3","","","","é†âÍåß","ïFç™és","írèBí¨","",75,-,-,-,-,6,26,-,1,3,9,5,1,-,2,2,8,7,-,3,1,1,37,-,-,-,-,4,13,-,1,2,5,1,-,-,2,1,3,2,-,2,1,-,38,-,-,-,-,2,13,-,-,1,4,4,1,-,-,1,5,5,-,1,-,1
663,"25202","0310","2","","","","é†âÍåß","ïFç™és","âhí¨","",437,1,1,-,-,18,90,-,1,15,74,10,4,10,52,24,31,50,5,30,8,14,247,1,1,-,-,15,66,-,-,11,33,6,1,5,30,11,12,14,3,22,6,11,190,-,-,-,-,3,24,-,1,4,41,4,3,5,22,13,19,36,2,8,2,3
664,"25202","031001","3","","","","é†âÍåß","ïFç™és","âhí¨","ÇPíöñ⁄",176,-,-,-,-,9,39,-,1,10,27,4,1,1,16,11,13,25,2,10,3,4,95,-,-,-,-,7,27,-,-,9,12,2,1,1,7,4,4,6,1,8,3,3,81,-,-,-,-,2,12,-,1,1,15,2,-,-,9,7,9,19,1,2,-,1
665,"25202","031002","3","","","","é†âÍåß","ïFç™és","âhí¨","ÇQíöñ⁄",261,1,1,-,-,9,51,-,-,5,47,6,3,9,36,13,18,25,3,20,5,10,152,1,1,-,-,8,39,-,-,2,21,4,-,4,23,7,8,8,2,14,3,8,109,-,-,-,-,1,12,-,-,3,26,2,3,5,13,6,10,17,1,6,2,2
666,"25202","0330","2","","","","é†âÍåß","ïFç™és","íÜÂM","",369,-,-,-,-,24,78,2,2,15,56,6,3,11,24,15,34,44,1,21,15,18,198,-,-,-,-,20,52,2,1,13,25,2,1,10,11,3,14,13,-,10,11,10,171,-,-,-,-,4,26,-,1,2,31,4,2,1,13,12,20,31,1,11,4,8
667,"25202","033001","3","","","","é†âÍåß","ïFç™és","íÜÂM","ÇPíöñ⁄",193,-,-,-,-,12,39,-,1,5,29,2,1,7,13,9,18,23,-,12,9,13,99,-,-,-,-,11,24,-,-,5,14,1,1,6,5,3,6,5,-,4,7,7,94,-,-,-,-,1,15,-,1,-,15,1,-,1,8,6,12,18,-,8,2,6
668,"25202","033002","3","","","","é†âÍåß","ïFç™és","íÜÂM","ÇQíöñ⁄",176,-,-,-,-,12,39,2,1,10,27,4,2,4,11,6,16,21,1,9,6,5,99,-,-,-,-,9,28,2,1,8,11,1,-,4,6,-,8,8,-,6,4,3,77,-,-,-,-,3,11,-,-,2,16,3,2,-,5,6,8,13,1,3,2,2
669,"25202","0350","2","","","","é†âÍåß","ïFç™és","í∑ë]ç™í¨","",568,15,15,-,-,21,147,3,5,17,84,9,9,17,45,12,51,62,7,14,30,20,341,7,7,-,-,17,115,3,4,15,38,7,7,11,18,7,23,16,6,8,25,14,227,8,8,-,-,4,32,-,1,2,46,2,2,6,27,5,28,46,1,6,5,6
670,"25202","0360","2","","","","é†âÍåß","ïFç™és","í∑ë]ç™ìÏí¨","",704,5,3,-,-,28,157,3,3,25,111,13,14,13,85,29,46,79,3,32,19,39,400,5,3,-,-,22,121,2,2,19,46,4,12,6,39,18,26,21,1,18,15,23,304,-,-,-,-,6,36,1,1,6,65,9,2,7,46,11,20,58,2,14,4,16
671,"25202","036002","3","","","","é†âÍåß","ïFç™és","í∑ë]ç™ìÏí¨","",321,3,2,-,-,15,68,1,1,15,58,6,8,11,21,13,19,39,-,19,10,14,177,3,2,-,-,10,47,-,-,11,22,2,7,5,10,8,11,13,-,11,6,11,144,-,-,-,-,5,21,1,1,4,36,4,1,6,11,5,8,26,-,8,4,3
672,"25202","036004","3","","","","é†âÍåß","ïFç™és","í∑ë]ç™ìÏí¨","",71,-,-,-,-,3,17,-,-,1,7,2,2,1,8,8,4,6,-,1,2,9,46,-,-,-,-,3,15,-,-,1,4,1,2,-,2,5,3,1,-,1,2,6,25,-,-,-,-,-,2,-,-,-,3,1,-,1,6,3,1,5,-,-,-,3
673,"25202","036005","3","","","","é†âÍåß","ïFç™és","í∑ë]ç™ìÏí¨","",312,2,1,-,-,10,72,2,2,9,46,5,4,1,56,8,23,34,3,12,7,16,177,2,1,-,-,9,59,2,2,7,20,1,3,1,27,5,12,7,1,6,7,6,135,-,-,-,-,1,13,-,-,2,26,4,1,-,29,3,11,27,2,6,-,10
674,"25202","0370","2","","","","é†âÍåß","ïFç™és","íÜÂMí¨","",926,10,7,1,-,53,224,3,6,43,134,17,21,29,88,29,53,106,5,57,15,32,481,6,4,1,-,48,156,3,4,33,51,6,11,24,29,7,24,16,2,34,11,15,445,4,3,-,-,5,68,-,2,10,83,11,10,5,59,22,29,90,3,23,4,17
675,"25202","037001","3","","","","é†âÍåß","ïFç™és","íÜÂMí¨","",746,9,6,1,-,41,189,2,3,39,94,14,19,20,73,26,42,89,4,41,12,28,387,5,3,1,-,37,135,2,2,29,35,5,10,17,22,6,18,15,1,26,8,13,359,4,3,-,-,4,54,-,1,10,59,9,9,3,51,20,24,74,3,15,4,15
676,"25202","037002","3","","","","é†âÍåß","ïFç™és","íÜÂMí¨","",180,1,1,-,-,12,35,1,3,4,40,3,2,9,15,3,11,17,1,16,3,4,94,1,1,-,-,11,21,1,2,4,16,1,1,7,7,1,6,1,1,8,3,2,86,-,-,-,-,1,14,-,1,-,24,2,1,2,8,2,5,16,-,8,-,2
677,"25202","0380","2","","","","é†âÍåß","ïFç™és","ëÂñ˜í¨","",2291,32,29,2,1,150,576,9,18,76,338,40,37,57,155,64,154,289,17,132,63,81,1270,24,21,2,1,126,430,7,11,53,150,20,25,38,45,20,64,76,11,84,43,40,1021,8,8,-,-,24,146,2,7,23,188,20,12,19,110,44,90,213,6,48,20,41
678,"25202","038001","3","","","","é†âÍåß","ïFç™és","ëÂñ˜í¨","",647,5,3,-,-,37,152,4,6,19,97,16,11,17,43,19,50,83,5,44,22,17,345,5,3,-,-,32,109,2,2,11,41,7,7,12,17,7,19,22,2,25,14,11,302,-,-,-,-,5,43,2,4,8,56,9,4,5,26,12,31,61,3,19,8,6
679,"25202","038002","3","","","","é†âÍåß","ïFç™és","ëÂñ˜í¨","",397,2,2,-,-,29,110,1,4,14,58,7,2,9,27,11,23,54,-,17,10,19,219,2,2,-,-,24,79,1,3,10,26,4,2,6,4,1,12,15,-,12,8,10,178,-,-,-,-,5,31,-,1,4,32,3,-,3,23,10,11,39,-,5,2,9
680,"25202","038003","3","","","","é†âÍåß","ïFç™és","ëÂñ˜í¨","",574,21,21,1,1,38,147,3,2,20,83,5,11,16,37,15,28,68,3,32,15,28,327,13,13,1,1,33,116,3,1,17,34,3,8,9,8,6,7,21,3,21,9,13,247,8,8,-,-,5,31,-,1,3,49,2,3,7,29,9,21,47,-,11,6,15
681,"25202","038004","3","","","","é†âÍåß","ïFç™és","ëÂñ˜í¨","",673,4,3,1,-,46,167,1,6,23,100,12,13,15,48,19,53,84,9,39,16,17,379,4,3,1,-,37,126,1,5,15,49,6,8,11,16,6,26,18,6,26,12,6,294,-,-,-,-,9,41,-,1,8,51,6,5,4,32,13,27,66,3,13,4,11
682,"25202","0390","2","","","","é†âÍåß","ïFç™és","înèÍ","",351,10,10,2,-,13,63,-,5,10,55,3,6,9,46,12,37,34,3,18,8,17,208,6,6,2,-,11,44,-,4,9,29,2,5,6,21,4,28,9,1,9,5,13,143,4,4,-,-,2,19,-,1,1,26,1,1,3,25,8,9,25,2,9,3,4
683,"25202","039001","3","","","","é†âÍåß","ïFç™és","înèÍ","ÇPíöñ⁄",160,-,-,-,-,5,25,-,4,5,27,1,2,5,25,4,27,11,1,6,7,5,94,-,-,-,-,4,17,-,3,4,12,1,1,4,13,1,21,2,-,2,5,4,66,-,-,-,-,1,8,-,1,1,15,-,1,1,12,3,6,9,1,4,2,1
684,"25202","039002","3","","","","é†âÍåß","ïFç™és","înèÍ","ÇQíöñ⁄",191,10,10,2,-,8,38,-,1,5,28,2,4,4,21,8,10,23,2,12,1,12,114,6,6,2,-,7,27,-,1,5,17,1,4,2,8,3,7,7,1,7,-,9,77,4,4,-,-,1,11,-,-,-,11,1,-,2,13,5,3,16,1,5,1,3
